Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
100.64.0.2-100.64.0.1-0-0-0,100.64.0.2,0,100.64.0.1,0,0,2023-03-19 15:02:20.266440,117265975,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40932589355096394,2495020.7446808517,2576091.308466522,5102694.0,104.0,1.17265842E8,5098514.869565219,9606.847128737933,5102832.0,5058567.0,1.17265838E8,5098514.695652173,9597.172748617015,5102880.0,5058588.0,0,0,0,0,0,0,0,0,0.20466294677548197,0.20466294677548197,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.47826086956525,21.02351403292252,188.0,104.0,5098364.391304347,9600.548411130803,5102694.0,5058427.0,0,0
10.16.0.6-144.122.71.18-34788-6443-6,10.16.0.6,34788,144.122.71.18,6443,6,2023-03-19 15:02:22.387673,116365340,347,399,10800.0,812557.0,48.0,0.0,31.123919308357355,21.109518404113004,15675.0,0.0,2036.4837092731823,3586.713457504166,7075.620627241754,6.410843641242315,156195.08724832206,923565.3904283533,5900021.0,0.0,1.16322962E8,336193.5317919076,1340833.3300723752,5941938.0,6.0,1.16363489E8,292370.57537688414,1249469.7906948698,5900042.0,3.0,240,281,0,0,0,0,11128,12768,2.981987591837913,3.4288560494044016,0.0,15675.0,1103.6957104557653,2806.1749188296913,7874617.6750688255,0,0,0,521,746,0,0,0,1.1498559077809798,1103.6957104557641,31.123919308357348,2036.483709273183,183,4,911,13545,4,31490587,0,14,0,1089,12709,502,239,32,252225.78947368424,37764.416541646635,330282.0,182906.0,5858473.105263158,27027.010585903245,5900021.0,5780088.0,116365340,0
10.16.0.6-144.122.71.18-0-0-0,10.16.0.6,0,144.122.71.18,0,0,2023-03-19 15:02:22.901650,116311908,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031708636402044,977410.9915966388,2159866.253543388,5985028.0,7.0,1.163119E8,1971388.1355932201,2738185.321609957,5985038.0,100157.0,1.16311877E8,1971387.7457627119,2738191.262410743,5985052.0,100154.0,0,0,0,0,0,0,0,0,0.515854318201022,0.515854318201022,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200688.0,115.23695394948257,201019.0,200516.0,5910435.52631579,35670.9031243618,5985028.0,5829637.0,0,0
10.16.0.6-114.114.114.114-0-0-0,10.16.0.6,0,114.114.114.114,0,0,2023-03-19 15:02:23.119110,116621944,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028965869407905,980016.3361344534,2182408.8773686863,6206461.0,663.0,1.16458468E8,1973872.338983051,2887215.025409557,6369939.0,1049.0,1.1645807E8,1973865.5932203394,2887348.2498779353,6370258.0,663.0,0,0,0,0,0,0,0,0,0.5144829347039525,0.5144829347039525,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165772.05263157896,158.02337157810945,166361.0,165638.0,5963502.2105263155,70314.04117053004,6206461.0,5865044.0,0,0
10.16.0.2-144.122.71.18-56026-6443-6,10.16.0.2,56026,144.122.71.18,6443,6,2023-03-19 15:02:23.109867,116511701,485,312,10260.0,774404.0,96.0,0.0,21.154639175257728,29.763440677351937,13480.0,0.0,2482.0641025641,3771.9984522600107,6734.636892821606,6.840514670711055,146371.48366834188,923531.2854179172,6404463.0,1.0,1.16511693E8,240726.63842975209,1175232.526238576,6404502.0,1.0,1.16511506E8,374635.06752411573,1450134.1032183014,6406209.0,6.0,188,248,0,0,0,0,15568,9984,4.162672039265824,2.6778426314452313,0.0,13480.0,984.5219573400259,2646.4982621076624,7003953.051338878,0,0,0,436,797,0,0,0,0.643298969072165,984.5219573400251,21.15463917525773,2482.0641025641025,183,4,797,12603,4,5949983,0,12,0,971,1083,502,187,32,251811.0555555556,33439.20996546389,298020.0,218921.0,6208804.888888888,144952.95467389683,6404463.0,5914190.0,116511701,0
10.16.0.2-144.122.71.18-0-0-0,10.16.0.2,0,144.122.71.18,0,0,2023-03-19 15:02:23.630784,116494795,57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9785844938394029,1030927.3893805309,2287515.863813959,6481829.0,6.0,1.16494788E8,2080264.0714285716,2903995.1340366243,6481844.0,98993.0,1.16494774E8,2080263.8214285716,2904001.780169584,6481846.0,98991.0,0,0,0,0,0,0,0,0,0.48929224691970147,0.48929224691970147,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200549.94444444447,268.8475343610726,201132.0,200154.0,6260205.333333334,145140.8860821302,6481829.0,5998151.0,0,0
100.64.0.2-10.16.0.5-37404-8181-6,100.64.0.2,37404,10.16.0.5,8181,6,2023-03-19 15:04:17.478928,394,5,5,106.0,137.0,106.0,0.0,21.2,47.40464112299554,137.0,0.0,27.4,61.26826258349424,616751.2690355331,25380.71065989848,43.77777777777778,42.4640370719088,132.0,7.0,378.0,94.5,42.649736224272246,132.0,37.0,364.0,91.0,54.092513345194085,164.0,34.0,1,1,0,0,0,0,168,168,12690.35532994924,12690.35532994924,0.0,137.0,24.3,51.747356346859775,2677.788888888889,2,2,0,2,9,0,0,0,1.0,24.3,21.2,27.4,0,0,0,0,0,0,0,10,0,13,65280,505,1,32,0,0,0,0,0,0,0,0,394,0
10.16.0.4-144.122.71.18-52536-6443-6,10.16.0.4,52536,144.122.71.18,6443,6,2023-03-19 15:02:38.269316,92159950,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10850700331326135,1.0239994444444444E7,1.4546983233311307E7,3.0720243E7,8.0,9.2159942E7,2.30399855E7,1.3080373773030099E7,3.0720253E7,3583796.0,9.2159935E7,2.303998375E7,1.3080198805460906E7,3.0720251E7,3584086.0,0,0,0,0,0,0,160,160,0.054253501656630676,0.054253501656630676,0.0,0.0,0.0,0.0,0.0,0,0,0,0,10,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1618,936,0,32,1194703.0,2069266.3773736334,3584086.0,8.0,2.9525277666666668E7,2069479.1364537438,3.0720243E7,2.7135649E7,92159950,0
10.16.0.5-144.122.71.18-34528-6443-6,10.16.0.5,34528,144.122.71.18,6443,6,2023-03-19 15:02:36.221322,110592059,10,8,235.0,178.0,118.0,0.0,23.5,49.5429106936603,58.0,0.0,22.25,25.882978411082668,3.7344453456644655,0.16276032983525515,6505415.235294117,1.2206546895177377E7,3.0720109E7,8.0,1.1059205E8,1.2288005555555556E7,1.4766955280673848E7,3.0720118E7,60.0,1.10592051E8,1.579886442857143E7,1.504937005671523E7,3.0721568E7,513.0,2,4,0,0,0,0,320,256,0.09042240546403064,0.07233792437122452,0.0,118.0,22.944444444444443,39.69512078806519,1575.702614379085,0,0,0,6,18,0,0,0,0.8,22.944444444444443,23.5,22.25,0,0,0,0,0,0,0,13,0,9,942,502,2,32,502329.24999999994,1004639.8333341075,2009289.0,8.0,2.714568325E7,7122209.362615993,3.0720109E7,1.6462406E7,110592059,0
10.16.0.7-144.122.71.18-38668-6443-6,10.16.0.7,38668,144.122.71.18,6443,6,2023-03-19 15:02:45.312988,106953621,12,7,1196.0,295.0,892.0,0.0,99.66666666666666,255.12825057688974,58.0,31.0,42.142857142857146,11.408017231002816,13.94062198230764,0.17764709434194847,5941867.833333333,1.156730204288274E7,3.000053E7,57.0,1.06953621E8,9723056.454545455,1.36757847349938E7,3.000053E7,57.0,1.06953343E8,1.7825557166666668E7,1.4199855510756923E7,3.0001473E7,759.0,5,7,0,0,0,0,384,224,0.1121981648475464,0.06544892949440206,0.0,892.0,78.47368421052632,201.57776784960208,40633.59649122807,0,0,0,12,19,0,0,0,0.5833333333333334,78.47368421052632,99.66666666666667,42.142857142857146,0,0,0,0,0,0,0,62,0,15,12242,1879,4,32,20769.75,23648.368969480045,41636.0,285.0,2.671756775E7,4275099.345433614,3.000053E7,2.0981274E7,106953621,0
